title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติชั่วโมงปฏิบัติงานด้านสาธารณสุขที่เหมาะสมเพื่อความปลอดภัยของผู้ป่วย พ.ศ. ....,IN_PROGRESS,2025-10-15,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติชั่วโมงปฏิบัติงานด้านสาธารณสุขที่เหมาะสมเพื่อความปลอดภัยของผู้ป่วย พ.ศ. ....,IN_PROGRESS,2025-10-15,สาธารณสุข,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติชั่วโมงปฏิบัติงานด้านสาธารณสุขที่เหมาะสมเพื่อความปลอดภัยของผู้ป่วย พ.ศ. ....,IN_PROGRESS,2025-10-15,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติข้อมูลข่าวสารสาธารณะ พ.ศ. ....,IN_PROGRESS,2025-10-30,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติสภาครูและบุคลากรทางการศึกษา (ฉบับที่ ..) พ.ศ. ....,MERGED,2025-09-03,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติสภาครูและบุคลากรทางการศึกษา (ฉบับที่ ..) พ.ศ. ....,MERGED,2025-09-03,การศึกษา,พรรคกล้าธรรม
ร่างพระราชบัญญัติสภาครูและบุคลากรทางการศึกษา (ฉบับที่ ..) พ.ศ. ....,MERGED,2025-09-03,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติการส่งเสริมวิทยาศาสตร์ การวิจัยและนวัตกรรม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-09-02,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-09-01,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติธรรมนูญศาลทหาร (ฉบับที่่ ..) พ.ศ. ....,REJECTED,2025-07-30,กระบวนการยุติธรรม,พรรคประชาชาติ
ร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ....,IN_PROGRESS,2024-09-25,สิ่งแวดล้อม,พรรคเพื่อไทย
ร่างพระราชบัญญัติฝุ่นพิษและการก่อมลพิษข้ามพรมแดน พ.ศ. ....,MERGED,2023-12-13,สิ่งแวดล้อม,พรรคประชาชน
พระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 14/2559 เรื่อง คณะกรรมการที่ปรึกษาการบริหารและการพัฒนาจังหวัดชายแดนภาคใต้ และการกำหนดอำนาจหน้าที่ของกองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร ลงวันที่ 4 เมษายน พุทธศักราช 2559 พ.ศ. ....,MERGED,2023-09-27,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-01-29,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-01-22,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติการประกอบธุรกิจข้อมูลเครดิต (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-01-09,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 8/2560 เรื่อง การขับเคลื่อนการปฏิรูปการบริหารงานส่วนบุคคลท้องถิ่น ลงวันที่ 21 กุมภาพันธ์ พุทธศักราช 2560 พ.ศ. ....,MERGED,2025-07-30,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการขนส่งทางราง พ.ศ. ....,MERGED,2024-09-11,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติกำหนดแผนและขั้นตอนการกระจายอำนาจให้แก่องค์กรปกครองส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-04-05,การเมือง,พรรคประชาชาติ
ร่างพระราชบัญญัติการบริหารจัดการขยะและการหมุนเวียนทรัพยากร พ.ศ. ....,REJECTED,2023-12-13,สิ่งแวดล้อม,พรรคประชาชน
ร่างพระราชบัญญัติอาสาสมัครกู้ภัยแห่งชาติ พ.ศ. ....,IN_PROGRESS,2025-07-30,สวัสดิการ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติความรับผิดเพื่อความชำรุดบกพร่องของสินค้า พ.ศ. ....,IN_PROGRESS,2025-10-29,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติสหภาพแรงงาน พ.ศ. ....,REJECTED,2024-04-04,แรงงาน,พรรคประชาชน
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2024-09-05,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติบริหารจัดการเพื่ออากาศสะอาด พ.ศ. ....,MERGED,2023-12-01,สิ่งแวดล้อม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุข พ.ศ. ....,REJECTED,2023-09-21,สาธารณสุข,พรรคเพื่อไทย
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,IN_PROGRESS,2025-10-09,สาธารณสุข,พรรคเพื่อไทย
พระราชบัญญัติองค์การบริหารส่วนจังหวัด (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-09-10,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติศูนย์กลางการประกอบธุรกิจทางการเงิน พ.ศ. ....,IN_PROGRESS,2025-10-09,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,MERGED,2024-09-05,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,MERGED,2024-09-05,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-10-26,อื่นๆ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-09-20,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-07-24,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติการประกอบกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-09-05,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติโคนมและผลิตภัณฑ์นม (ฉบับที่ ..) พ.ศ. ....,MERGED,2023-10-25,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,IN_PROGRESS,2023-09-11,สาธารณสุข,พรรคภูมิใจไทย
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,IN_PROGRESS,2023-09-11,สาธารณสุข,พรรคภูมิใจไทย
ร่างพระราชบัญญัติสถานพยาบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-23,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสถานพยาบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-23,สาธารณสุข,พรรครวมไทยสร้างชาติ
พระราชบัญญัติภาษีสรรพสามิต (ฉบับที่ 2) พ.ศ. 2568,ENACTED,2024-09-03,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติการผังเมือง (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-03-13,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-10-12,สิ่งแวดล้อม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติล้มละลาย (ฉบับที่ ..) พ.ศ. ....,MERGED,2023-08-31,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-10-12,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติจัดตั้งศาลจังหวัดที่อำเภอปัว จังหวัดน่าน พ.ศ. ....,REJECTED,2024-03-07,กระบวนการยุติธรรม,พรรคเพื่อไทย
ร่างพระราชบัญญัติการประกอบกิจการกระจายเสียงและกิจการโทรทัศน์ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2023-10-12,เศรษฐกิจ,พรรคเพื่อไทย
พระราชบัญญัติภาษีสรรพสามิต (ฉบับที่ 2) พ.ศ. 2568,MERGED,2024-08-21,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
พระราชบัญญัติภาษีสรรพสามิต (ฉบับที่ 2) พ.ศ. 2568,MERGED,2024-08-21,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,IN_PROGRESS,2024-02-29,สาธารณสุข,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติโรงงาน (ฉบับที่..) พ.ศ. ....,MERGED,2025-09-01,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติภาพยนตร์ พ.ศ. ....,IN_PROGRESS,2024-02-29,วัฒนธรรม,พรรคประชาชน
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-07-24,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติกิจการฮัจย์ พ.ศ. ....,IN_PROGRESS,2023-08-30,วัฒนธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติกิจการฮัจย์ พ.ศ. ....,IN_PROGRESS,2023-08-30,วัฒนธรรม,พรรคภูมิใจไทย
พระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,ENACTED,2024-02-29,แรงงาน,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการประกอบกิจการกระจายเสียงและกิจการโทรทัศน์ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-07-09,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติอากาศสะอาดเพื่อประชาชน พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอากาศสะอาดเพื่อประชาชน พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-01-17,กระบวนการยุติธรรม,พรรคประชาชน
พระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,MERGED,2025-07-04,การเมือง,พรรคภูมิใจไทย
พระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,MERGED,2025-07-04,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติเปลี่ยนแปลงฐานะขององค์การบริหารส่วนตำบลเป็นเทศบาลตำบล พ.ศ. ....,IN_PROGRESS,2024-02-28,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-09-27,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-09-27,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติโรงแรมและสถานที่พักที่ไม่เป็นโรงแรม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-02,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติป่าสงวนแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2024-07-03,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-16,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติราชทัณฑ์ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-21,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอุทยานแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-07-03,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-06,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-06,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-06-20,สาธารณสุข,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-06-20,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่) พ.ศ. ....,IN_PROGRESS,2024-02-21,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-08-30,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติให้ใช้ประมวลกฎหมายยาเสพติด (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-18,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,IN_PROGRESS,2025-06-26,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,IN_PROGRESS,2024-01-25,การเมือง,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-18,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติโรงแรมและสถานที่พักที่ไม่เป็นโรงแรม (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-17,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-15,กระบวนการยุติธรรม,พรรคประชาชาติ
ร่างพระราชบัญญัติธรรมนูญศาลทหาร (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-05-31,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติว่าด้วยการเวนคืนและการได้มาซึ่งอสังหาริมทรัพย์ (ฉบับที่..) พ.ศ. ....,IN_PROGRESS,2024-05-02,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติหลักประกันสุขภาพแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-15,สาธารณสุข,พรรคเป็นธรรม
พระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 14/2559 เรื่อง คณะกรรมการที่ปรึกษาการบริหารและการพัฒนาจังหวัดชายแดนภาคใต้ และการกำหนดอำนาจหน้าที่ของกองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร ลงวันที่ 4 เมษายน พุทธศักราช 2559 พ.ศ. ....,MERGED,2024-02-14,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติเขตเศรษฐกิจพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-04-04,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติเขตเศรษฐกิจพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-04-04,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-05-28,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,REJECTED,2024-02-14,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคกล้าธรรม
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคเศรษฐกิจ
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2019-04-04,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-05-28,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-02-14,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,IN_PROGRESS,2023-08-22,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติบริหารจัดการเพื่ออากาศสะอาด พ.ศ. ....,IN_PROGRESS,2024-01-05,สิ่งแวดล้อม,พรรคพลังประชารัฐ
พระราชบัญญัติอำนาจเรียกของคณะกรรมาธิการของสภาผู้แทนราษฎรและวุฒิสภา พ.ศ. ....,ENACTED,2024-01-04,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,IN_PROGRESS,2025-04-09,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสงวนและคุ้มครองสัตว์ป่า (ฉบับที่ ..)  พ.ศ. ....,REJECTED,2024-03-13,สิ่งแวดล้อม,พรรคเพื่อไทย
ร่างพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-13,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-03-07,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-03-07,เศรษฐกิจ,พรรคกล้าธรรม
"ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....
(แก้ไขเพิ่มเติม มาตรา 287)",REJECTED,2023-08-03,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-04-09,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติโรงงาน (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคกล้าธรรม
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-30,การศึกษา,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติภาพยนตร์และวีดิทัศน์ (ฉบัับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-07,วัฒนธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติเขตพัฒนาพิเศษล้านนาตะวันออก พ.ศ. ....,REJECTED,2024-03-01,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติส่งเสริมและรักษาคุณภาพสิ่งแวดล้อมแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-08-03,สิ่งแวดล้อม,พรรคประชาชน
พระราชบัญญัติว่าด้วยการออกเสียงประชามติ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-01-31,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการปฏิรูปที่ดินเพื่อการประมงพื้นบ้าน พ.ศ. ....,REJECTED,2024-02-28,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการยาสูบแห่งประเทศไทย (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-03-13,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการยาสูบแห่งประเทศไทย (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-03-13,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติยุทธศาสตร์ลำไย พ.ศ. ....,IN_PROGRESS,2024-02-28,เศรษฐกิจ,พรรคเพื่อไทย
